id,name,neighbourhood,host_name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15116326,Liv MTL Urban-3 Spacious 2BR & Event-Ready No Fees,Le Plateau-Mont-Royal,Liv MTL,45.52156,-73.58531,Entire home/apt,221.0,2.0,143.0,3/12/24,1.57,47,362,18.0,"298467, expires: 2024-12-31"
15116683,Liv MTL Urban-4 Spacious 2BR & Event-Ready No Fees,Le Plateau-Mont-Royal,Liv MTL,45.52137,-73.58729,Entire home/apt,354.0,2.0,172.0,11/26/23,1.89,47,319,24.0,"298467, expires: 2024-12-31"
15143923,Cozy Loft in historical Old Montreal,Ville-Marie,Julien,45.5052,-73.55669,Entire home/apt,104.0,31.0,77.0,10/17/23,0.85,1,89,4.0,
15178067,"Cozy 1 bedroom at Vendome Metro, Glen Hospital",Côte-des-Neiges-Notre-Dame-de-Grâce,Walid,45.47356,-73.60918,Entire home/apt,80.0,31.0,17.0,10/21/23,0.19,2,265,3.0,
15256244,NEW Tour Des Canadiens Montreal Condo 44th Floor,Ville-Marie,Diana,45.49502,-73.57178,Entire home/apt,80.0,31.0,6.0,1/8/24,0.11,1,112,4.0,
15265481,Magnificent apartment,Mercier-Hochelaga-Maisonneuve,Yaneisy,45.5439,-73.53739,Entire home/apt,113.0,3.0,257.0,3/17/24,2.82,2,171,40.0,"298255, expires: 2024-08-31"
15272723,The View from the top,Le Plateau-Mont-Royal,Erol & Jay,45.50771,-73.57411,Entire home/apt,101.0,1.0,304.0,3/14/24,3.34,24,72,22.0,"294006, expires: 2024-03-31"
15318889,"Victoria Village, cosy LOFT Westmount A1 Loc.",Westmount,M.,45.47832,-73.60158,Entire home/apt,135.0,31.0,10.0,12/22/21,0.11,2,365,0.0,
15338264,Le Citadin: THE BEST of Montreal,Rosemont-La Petite-Patrie,Christine,45.53612,-73.61447,Entire home/apt,149.0,4.0,30.0,5/6/23,0.33,1,171,1.0,"214071, expires: 2024-05-31"
15465983,Large 2 bedroom apartment Downtown Montreal,Le Plateau-Mont-Royal,Oxford,45.51055,-73.57635,Entire home/apt,98.0,31.0,3.0,7/18/22,0.04,20,248,0.0,
15519058,"Bel appartement, accueillant et bien situé",Rosemont-La Petite-Patrie,Josée Marie,45.54189,-73.58423,Entire home/apt,80.0,31.0,15.0,11/30/23,0.17,1,200,2.0,
15522103,"Roomy, Designer Apartment near Sherbrooke Metro Station",Le Plateau-Mont-Royal,Adrien,45.51923,-73.56884,Entire home/apt,180.0,2.0,366.0,3/18/24,4.26,1,32,71.0,"296111, expires: 2024-04-30T18:48:01Z"
15551969,Big MTL Airbnb 3 Bedrooms. Free Parking.,Le Sud-Ouest,Kristina,45.45522,-73.59121,Entire home/apt,200.0,2.0,185.0,2/20/24,2.07,1,298,19.0,"308263, expires: 2024-12-31"
15553665,Liv MTL Soho-1 Spacious 2BR + Event Ready Rooftop,Le Plateau-Mont-Royal,Liv MTL,45.52084,-73.57871,Entire home/apt,232.0,2.0,125.0,3/11/24,1.4,47,362,15.0,"298468, expires: 2024-11-30"
15555898,Liv MTL Soho-3 Spacious 2BR + Event Ready Rooftop,Le Plateau-Mont-Royal,Liv MTL,45.52189,-73.57838,Entire home/apt,232.0,2.0,140.0,12/30/23,1.56,47,365,9.0,"298468, expires: 2024-11-30"
15610714,One bedroom apartment near Old Montreal,Ville-Marie,Oxford,45.5041,-73.562,Entire home/apt,94.0,31.0,10.0,12/16/23,0.16,20,252,2.0,
15746375,Newly furnished Mile End apartment for up to 6.,Le Plateau-Mont-Royal,Tony,45.52475,-73.60344,Entire home/apt,80.0,31.0,384.0,10/17/23,4.29,2,50,9.0,
15753130,"""LE ST-CYR"" Luxury  Lounge Loft In Old Montreal",Ville-Marie,Sam,45.50337,-73.55513,Entire home/apt,182.0,1.0,113.0,3/14/24,2.06,8,238,40.0,"313234, expires: 2024-04-30"
15829579,Prestige Condo DT Montreal Bell Center Concordia,Ville-Marie,Jerry,45.49633,-73.56989,Entire home/apt,,31.0,129.0,6/1/23,1.45,1,62,2.0,
15859276,"Rose park, 3 bedrooms",Rosemont-La Petite-Patrie,Louise,45.55593,-73.57638,Entire home/apt,61.0,31.0,31.0,12/15/23,0.35,4,272,1.0,
15943458,"Vintage room 10min to Metro, Glen site, CUSM",Côte-des-Neiges-Notre-Dame-de-Grâce,Frederick,45.46721,-73.60735,Private room,36.0,1.0,251.0,3/20/24,2.84,3,52,79.0,"295173, expires: 2025-01-31"
15943857,"Bright room 10min to Metro, Glen, CUSM hospital",Côte-des-Neiges-Notre-Dame-de-Grâce,Frederick,45.46954,-73.6089,Private room,44.0,1.0,240.0,3/17/24,2.71,3,57,78.0,"295173, expires: 2025-01-31"
15956356,Le Mont-Royal,Le Plateau-Mont-Royal,Remi Et Marie,45.52269,-73.58417,Entire home/apt,216.0,3.0,264.0,2/29/24,3.07,2,209,53.0,"295246, expires: 2025-01-01T00:00:00Z"
15964704,"Just like at home, long term location.",Rosemont-La Petite-Patrie,Sebastien Et Elise,45.55233,-73.57648,Entire home/apt,50.0,31.0,34.0,2/15/24,0.4,1,234,1.0,
16050699,3 Bedrooms - 2600 Square feet - Luxurious House,Mercier-Hochelaga-Maisonneuve,Amine,45.59484,-73.56276,Entire home/apt,149.0,31.0,10.0,7/31/20,0.11,11,178,0.0,
16052945,lumineux  spacieux appartement Plateau Mont royal,Le Plateau-Mont-Royal,Amelle,45.52474,-73.58067,Entire home/apt,179.0,3.0,176.0,3/18/24,2.0,2,202,58.0,"277922, expires: 2024-05-31"
16095201,"Heart of the Plateau, Centre Ville",Le Plateau-Mont-Royal,Emmanuel,45.51851,-73.57365,Entire home/apt,71.0,31.0,49.0,7/3/23,0.55,1,246,1.0,
