id,name,neighbourhood,host_name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17936071,Step away from downtown Bell Center CITQ#297014,Le Sud-Ouest,Paris,45.48678,-73.57474,Entire home/apt,486.0,2.0,148.0,3/10/24,1.74,3,170,24.0,"297014, expires: 2024-12-31"
17994600,Right in the heart of the Plateau - 2 bedrooms,Le Plateau-Mont-Royal,Annie,45.52363,-73.57639,Entire home/apt,107.0,2.0,166.0,12/31/23,1.97,10,165,30.0,"294221, expires: 2024-05-31"
18002553,Guest Room in Montreal,Rosemont-La Petite-Patrie,Brigitte,45.53552,-73.61512,Private room,81.0,2.0,198.0,2/17/24,2.38,2,307,63.0,"296511, expires: 2024-07-31"
18032324,"Cozy&Luxury, 2 bed 2 bath, Superhost. Magical sun!",Ville-Marie,Joël,45.49674,-73.56981,Entire home/apt,125.0,31.0,93.0,1/31/24,1.1,1,42,6.0,
18035557,Pope,Ville-Marie,Wana,45.4918874,-73.58018049,Entire home/apt,102.0,1.0,377.0,3/20/24,4.47,3,287,59.0,"307217, expires: 2024-10-12"
18050345,Spacious Aparment - Walk to the Mont-Royal Street,Le Plateau-Mont-Royal,Heathcliff,45.53868,-73.58105,Entire home/apt,76.0,31.0,70.0,12/22/23,0.83,2,277,3.0,
18194049,Lovely studio downtown Montreal,Ville-Marie,CASA Heidi,45.50205,-73.56813,Private room,60.0,31.0,7.0,12/21/23,0.08,2,139,1.0,
18196976,"Luxury Montreal villa w/Pool,Indoor Jacuzzi,Sauna+",Côte-Saint-Luc,Sim,45.46413,-73.66617,Entire home/apt,1379.0,31.0,34.0,8/7/23,0.41,1,364,2.0,
18198057,Microclimat Unique Modern House,Rosemont-La Petite-Patrie,Audrey,45.55234,-73.59481,Entire home/apt,914.0,4.0,15.0,1/3/24,0.19,2,255,7.0,"302774, expires: 2024-09-30"
18223094,Homa 2 | A haven of light | WiFi+Workspace,Mercier-Hochelaga-Maisonneuve,Anna,45.55676,-73.53096,Entire home/apt,87.0,2.0,218.0,3/17/24,2.64,6,236,61.0,"296161, expires: 2024-06-30"
18234207,Magifique condo offert a la location long terme.,Ville-Marie,Frederic,45.49651,-73.56929,Entire home/apt,107.0,31.0,92.0,1/5/24,1.1,1,128,5.0,
18237872,1 Bedroom condo for rent Place des Arts- 804,Ville-Marie,Service,45.5064,-73.56825,Entire home/apt,77.0,31.0,4.0,10/9/22,0.05,14,335,0.0,
18264906,"#300392,closed airport,downtown,river.5 bedrooms",Lachine,Qiang,45.43789,-73.70281,Entire home/apt,378.0,1.0,120.0,1/6/24,1.43,3,312,17.0,"300392, expires: 2024-05-31"
18267089,Studio in the heart of Mile End,Le Plateau-Mont-Royal,Franco,45.52349,-73.59432,Entire home/apt,85.0,2.0,355.0,3/17/24,4.25,2,24,83.0,"298715, expires: 2024-12-31"
18272882,Home Sweet Home ❤️of Downtown BreakfastBuffet&Spa,Ville-Marie,Sarah,45.49308904,-73.57681536,Entire home/apt,115.0,2.0,225.0,3/17/24,2.67,5,274,88.0,"314165, expires: 2024-07-24"
18286338,Joli studio bien rénové - proche du métro,Rosemont-La Petite-Patrie,Delphine,45.53721,-73.6003,Entire home/apt,87.0,6.0,263.0,2/25/24,3.12,1,85,37.0,"304905, expires: 2024-05-31"
18287017,Spacious flat Downtown Montreal #202 CITQ #222125,Ville-Marie,John,45.51157,-73.56251,Entire home/apt,112.0,1.0,444.0,3/16/24,5.33,6,86,85.0,"222125, expires: 2025-02-28"
18287687,Spacious flat Downtown Montreal #201 CITQ #222125,Ville-Marie,John,45.51133,-73.56263,Entire home/apt,103.0,1.0,397.0,3/3/24,4.76,6,111,75.0,"222125, expires: 2025-02-28"
18333400,@1379 Bright Condo next to Trendy Griffintown,Le Sud-Ouest,Mishel,45.4822,-73.56756,Entire home/apt,75.0,31.0,200.0,12/22/23,2.39,6,95,2.0,
18345412,"2 bedrooms,closed airport,downtown,river. #300392",Lachine,Qiang,45.43886,-73.70098,Entire home/apt,178.0,1.0,100.0,3/11/24,1.22,3,315,29.0,"300392, expires: 2024-05-31"
18388093,"Central 2 bed apt in lovely Outremont, Montreal",Outremont,Yves,45.52357,-73.61092,Entire home/apt,110.0,31.0,62.0,1/6/24,0.77,2,137,5.0,
18390434,Cosy and Comfortable Studio - Studio chaleureux,Ahuntsic-Cartierville,Michèle,45.55109,-73.66973,Entire home/apt,120.0,1.0,248.0,3/16/24,2.99,1,121,45.0,"295489, expires: 2025-01-31"
18404443,Pristine Parc Avenue Pad,Le Plateau-Mont-Royal,Erol & Jay,45.50796,-73.57218,Entire home/apt,95.0,1.0,225.0,3/13/24,2.68,24,53,39.0,"294117, expires: 2024-03-31"
18424257,Studio in the heart of downtown,Le Plateau-Mont-Royal,Turgay,45.509155,-73.572533,Entire home/apt,138.0,1.0,4.0,3/28/22,0.09,4,257,0.0,"221252, expires: 2024-05-31"
18432424,Appartement avec terrasse/Apartment with s.pool,Mercier-Hochelaga-Maisonneuve,Sébastien,45.54709,-73.54107,Entire home/apt,330.0,3.0,51.0,10/9/23,0.61,1,356,3.0,"314340, expires: 2024-06-27"
18440875,AMAZING Big family house with JACUZZI,Mercier-Hochelaga-Maisonneuve,Catherine,45.60294,-73.52511,Entire home/apt,264.0,3.0,55.0,8/14/23,0.66,1,80,3.0,"296103, expires: 2024-04-30T23:52:34Z"
18463634,"Beautiful Studio, 203 rue Prince Arthur Est",Le Plateau-Mont-Royal,Vladimir & Valentina,45.51582718,-73.57106018,Entire home/apt,53.0,31.0,85.0,3/5/24,1.02,3,34,5.0,
18485017,"Double room in Plateau apartment, near metro",Le Plateau-Mont-Royal,Cesar,45.52757,-73.58398,Private room,37.0,31.0,101.0,2/4/24,1.23,3,39,3.0,
18489503,Charmant appartement dans HOMA,Mercier-Hochelaga-Maisonneuve,Pascal,45.55564,-73.53846,Entire home/apt,110.0,31.0,24.0,3/17/24,0.3,1,268,5.0,
18506381,Spacious flat Downtown Montreal #203 CITQ #222125,Ville-Marie,John,45.51323,-73.56131,Entire home/apt,118.0,1.0,414.0,3/16/24,4.97,6,75,88.0,"222125, expires: 2025-02-28"
18508404,Luxury Historic Montreal 3 Bdrm w/Deck. # 296183,Côte-des-Neiges-Notre-Dame-de-Grâce,Nat,45.47858,-73.61696,Entire home/apt,306.0,4.0,109.0,12/29/23,1.37,1,38,24.0,"296183, expires: 2024-06-30"
18509647,Logement moderne et confortable,Le Sud-Ouest,Lamine,45.45186,-73.59167,Entire home/apt,314.0,2.0,147.0,1/1/24,1.76,1,156,27.0,"304966, expires: 2024-06-01"
18521734,Beautiful House,Pointe-Claire,Noya Rina,45.46658,-73.80581,Private room,48.0,31.0,12.0,6/22/23,0.14,2,80,1.0,
18548687,Appartement 1 chambre ou 2 à Montréal,Ahuntsic-Cartierville,Francine,45.53666,-73.71349,Entire home/apt,136.0,31.0,37.0,10/18/22,0.45,2,179,0.0,
18563293,Charming 2BD + den in Plateau!,Le Plateau-Mont-Royal,Nadim,45.53691,-73.58099,Entire home/apt,81.0,31.0,109.0,8/15/23,1.32,6,357,2.0,
18564662,The perfect spot! Cool Monkland next to the Metro.,Côte-des-Neiges-Notre-Dame-de-Grâce,Peter,45.4789296,-73.61913317,Entire home/apt,124.0,2.0,223.0,3/18/24,2.7,2,127,52.0,"307203, expires: 2024-09-30"
18674312,Luxurious Studio,Pointe-Claire,Noya Rina,45.46471,-73.80729,Entire home/apt,165.0,1.0,97.0,12/19/23,1.16,2,167,16.0,"296501, expires: 2025-03-08"
18689645,Charming apt for 1 or 2 p. in Mile-End - monthly,Le Plateau-Mont-Royal,Petit Séjour,45.52486,-73.60087,Entire home/apt,75.0,31.0,43.0,10/15/23,0.52,4,194,5.0,
18702052,Amazing location - 2 Bedroom apartment,Le Sud-Ouest,Max,45.48188,-73.57877,Entire home/apt,108.0,31.0,18.0,5/31/23,0.22,4,364,1.0,
18703570,Séjour à Montréal en Fête,Ahuntsic-Cartierville,Francine,45.53533,-73.71382,Entire home/apt,130.0,31.0,11.0,10/22/22,0.14,2,179,0.0,
18718437,Exceptional apartment for 2 in Mile-End - Monthly,Le Plateau-Mont-Royal,Petit Séjour,45.52417,-73.60258,Entire home/apt,88.0,31.0,37.0,8/6/23,0.45,4,201,3.0,
18721226,43rd fl Luxury Downtown-Breathtaking view and prkg,Ville-Marie,Chris,45.49574,-73.57169,Entire home/apt,250.0,31.0,76.0,11/1/23,0.91,1,158,3.0,
18746943,Spacious flat Downtown Montreal #303 CITQ #222125,Ville-Marie,John,45.51175,-73.56064,Entire home/apt,117.0,1.0,432.0,3/15/24,5.23,6,85,97.0,"222125, expires: 2025-02-28"
18747398,Spacious flat Downtown Montreal #302 CITQ #222125,Ville-Marie,John,45.51306,-73.56081,Entire home/apt,110.0,1.0,420.0,11/19/23,5.07,6,118,63.0,"222125, expires: 2025-02-28"
18747598,Spacious flat Downtown Montreal #301 CITQ #222125,Ville-Marie,John,45.50628,-73.56691,Entire home/apt,112.0,1.0,417.0,3/17/24,5.03,6,113,82.0,"222125, expires: 2025-02-28"
18767039,Cosy Garden Apartment in Pointe-Claire - Pets OK,Pointe-Claire,Gordon,45.45792,-73.78479,Entire home/apt,135.0,2.0,304.0,3/11/24,3.66,1,240,40.0,"306262, expires: 2024-08-31"
18793716,Private room with private bathroom (Gold room),Villeray-Saint-Michel-Parc-Extension,David,45.53057,-73.64174,Private room,50.0,4.0,34.0,2/21/24,0.41,2,65,25.0,"312784, expires: 2024-04-16"
18806218,Charmant et lumineux condo dans Outremont-Mile end,Outremont,Sandra,45.51676,-73.59921,Entire home/apt,225.0,31.0,21.0,7/27/23,0.26,1,268,1.0,
18825457,Chambre lumineuse en plein coeur du plateau,Le Plateau-Mont-Royal,Jerome,45.52425,-73.5859,Private room,72.0,4.0,77.0,2/19/24,0.94,2,65,35.0,"313084, expires: 2024-05-10"
18825871,Quiet room in the heart of the Plateau.,Le Plateau-Mont-Royal,Jerome,45.52247136,-73.58515682,Private room,68.0,4.0,69.0,3/18/24,0.83,2,68,33.0,"313084, expires: 2024-05-10"
18841037,Pope 3,Ville-Marie,Wana,45.4936666,-73.5801128,Entire home/apt,121.0,1.0,340.0,3/10/24,4.15,4,248,56.0,"307216, expires: 2024-10-12"
18853937,"Sud Mile-end; Plateau, Métro Mont-Royal, 2e",Le Plateau-Mont-Royal,Franck,45.52145,-73.58219,Entire home/apt,88.0,31.0,24.0,12/26/23,0.32,4,135,4.0,
18888850,Warm & Comfy 1 BR near Olympic Stadium,Rosemont-La Petite-Patrie,Marianne,45.56679,-73.58381,Entire home/apt,69.0,31.0,30.0,1/16/24,0.36,1,66,5.0,
18907170,Great location close to metro 7 mins to downtown,Verdun,Christopher,45.45281,-73.58142,Entire home/apt,99.0,31.0,26.0,1/17/24,0.35,1,248,6.0,
18934507,Spacious & Comfy 1BR near Botanical Gardens!,Rosemont-La Petite-Patrie,Daniel,45.5663,-73.58191,Entire home/apt,55.0,31.0,14.0,7/31/22,0.21,28,59,0.0,
18994479,Appartement lumineux Plateau MontRoyal CITQ#301398,Le Plateau-Mont-Royal,Adam,45.53724,-73.5758,Entire home/apt,202.0,2.0,75.0,11/28/23,0.92,2,329,35.0,"301398, expires: 2024-05-31"
19006248,PRIME PLATEAU CENTRAL MONTREAL/TERRACE/AC/PARKING$,Le Plateau-Mont-Royal,Steve,45.51786309,-73.57831183,Entire home/apt,161.0,2.0,84.0,3/2/24,1.02,7,124,8.0,"313088, expires: 2025-05-08T19:21:14Z"
19013621,Master Bedroom with office in Original Duplex,Le Plateau-Mont-Royal,Anaëlle,45.531,-73.58192,Private room,133.0,2.0,33.0,3/17/24,0.4,2,171,6.0,"316516, expires: 2024-11-11"
19037319,Urbain oasis in the Mile end/ Plateau,Le Plateau-Mont-Royal,Alain,45.523121,-73.589088,Entire home/apt,400.0,3.0,25.0,8/15/23,0.31,1,12,2.0,"312810, expires: 2024-04-24"
19039674,PETIT STUDIO,Le Plateau-Mont-Royal,Remi Et Marie,45.52172,-73.58439,Entire home/apt,160.0,3.0,241.0,1/1/24,2.92,2,299,38.0,"295246, expires: 2025-01-01T00:00:00Z"
19040132,“El Tigre” - Cozy 2BR - Downtown,Ville-Marie,Andre,45.49724,-73.57304,Entire home/apt,80.0,31.0,52.0,12/29/23,0.63,16,247,1.0,
19049170,Monthly rental Verdun studio with parking and yard,Verdun,Tara,45.46203,-73.57746,Entire home/apt,60.0,31.0,231.0,1/29/24,2.83,2,167,7.0,
19057256,Studio in Montreal downtown/Best location,Ville-Marie,Alfie,45.49604,-73.58106,Entire home/apt,57.0,1.0,113.0,12/30/23,1.58,5,93,21.0,"378915, expires: 2024-06-06"
19057633,Luxury 4 Bedroom Penthouse!,Le Plateau-Mont-Royal,Berish,45.5244,-73.60689,Entire home/apt,264.0,1.0,251.0,2/24/24,3.04,25,349,15.0,"296457, expires: 2024-07-31"
19057653,"Westmount Luxury house, 3BR/3BATH 2 Free parkings",Westmount,Amir,45.47768,-73.5987,Entire home/apt,257.0,4.0,159.0,3/3/24,1.92,2,116,15.0,"314916, expires: 2024-08-15"
19070391,Amazing location | Now 5 bedrooms + Extra Kitchen,Le Sud-Ouest,Max,45.48228,-73.5789,Entire home/apt,196.0,31.0,19.0,9/11/23,0.23,4,364,2.0,
19086838,"Brand New Penthouse! Hot Tub,  AC MileEnd",Le Plateau-Mont-Royal,Berish,45.5244,-73.60689,Entire home/apt,169.0,1.0,254.0,2/25/24,3.08,25,348,28.0,"296457, expires: 2024-07-31T19:15:22Z"
19093836,Luxuriate in the Cozy Apartment near Mount Royal,Le Plateau-Mont-Royal,Berish,45.52433,-73.60696,Entire home/apt,131.0,1.0,113.0,2/17/24,1.37,25,347,8.0,"296457, expires: 2024-07-31T19:18:50Z"
19111529,Queen Bed - Shared Condo Bedroom in Downtown,Ville-Marie,Wilson,45.50769,-73.56964,Private room,106.0,2.0,205.0,2/19/24,2.48,1,50,27.0,"313281, expires: 2024-05-02"
19136154,"Penthouse! 5 Star! Winterized Hot Tub, 2",Le Plateau-Mont-Royal,Berish,45.5244,-73.60689,Entire home/apt,728.0,1.0,34.0,12/4/23,0.42,25,340,4.0,"296457, expires: 2024-07-31"
19138461,Our Vivid City Views,Le Plateau-Mont-Royal,Erol & Jay,45.5074,-73.57286,Entire home/apt,92.0,1.0,156.0,3/17/24,1.89,24,59,42.0,"294006, expires: 2024-03-31"
19143052,Small Furnished Studio Meuble,Ville-Marie,Nader,45.51966,-73.56256,Entire home/apt,47.0,31.0,15.0,8/14/22,0.19,9,179,0.0,
19157989,Trans Island Home for happy travelers IV,Côte-des-Neiges-Notre-Dame-de-Grâce,Chris And Marc,45.49098,-73.64346,Private room,37.0,2.0,200.0,1/13/24,2.53,4,71,29.0,"301418, expires: 2024-04-30"
19166446,Private Room/Montreal/West Island/8km from Airport,Pointe-Claire,Rachelle,45.46577,-73.79853,Private room,75.0,2.0,83.0,12/10/23,1.01,1,133,32.0,"296277, expires: 2024-06-01T00:00:00Z"
19172080,Liv MTL Soho-4 Stylish 1BR Artsy + Rooftop No Fees,Le Plateau-Mont-Royal,Liv MTL,45.52061,-73.57838,Entire home/apt,151.0,2.0,82.0,3/19/24,1.0,47,358,13.0,"298468, expires: 2024-11-30"
19208971,"Apartment with a patio
203 rue Prince Arthur Est",Le Plateau-Mont-Royal,Vladimir & Valentina,45.51582718,-73.57106018,Entire home/apt,78.0,31.0,83.0,2/20/24,1.01,3,68,5.0,
19228001,Hotel ZOZO 3,Mercier-Hochelaga-Maisonneuve,W,45.54318,-73.53864,Entire home/apt,177.0,3.0,158.0,3/9/24,1.95,3,298,24.0,"295943, expires: 2024-05-31T14:52:31Z"
19303566,Two bedrooms Condo 1 King + 1 Queen Bed,Le Plateau-Mont-Royal,Turgay,45.509048,-73.572685,Entire home/apt,175.0,1.0,7.0,3/16/24,0.1,4,332,5.0,"221252, expires: 2024-05-31"
19400327,CHARM OF THE PLATEAU ❤️ BEST LOCATION•DECK•AC•COZY!,Le Plateau-Mont-Royal,Steve,45.51587,-73.57943,Entire home/apt,104.0,2.0,154.0,3/16/24,1.88,7,130,24.0,"313088, expires: 2024-05-08"
19427490,Stunning flat in the heart of Plateau Mont-Royal,Le Plateau-Mont-Royal,Jean,45.52457809,-73.57678986,Entire home/apt,1107.0,3.0,41.0,12/31/23,0.51,1,144,11.0,"309442, expires: 2025-03-31"
19437779,The art of living at the Jean-Talon market,Rosemont-La Petite-Patrie,Diane,45.54128,-73.6118,Entire home/apt,130.0,31.0,15.0,7/5/23,0.19,1,173,1.0,
19459264,"Gorgeous Downtown Condo-Balcony, Pool, FREE Garage",Ville-Marie,Chrissy,45.49291,-73.57396,Entire home/apt,186.0,31.0,109.0,6/18/23,1.33,7,270,2.0,
19528566,Bright and spacious art deco loft on Ave Laurier,Le Plateau-Mont-Royal,Nadim,45.53514,-73.58121,Entire home/apt,54.0,31.0,81.0,1/9/23,0.99,6,352,0.0,
19531776,Maison de ville chaleureuse avec terrasse,Le Sud-Ouest,Isabelle,45.475803,-73.563736,Entire home/apt,280.0,2.0,7.0,1/1/24,0.67,1,257,7.0,"312756, expires: 2024-04-18T00:00:00Z"
19555586,Rustic & cozy 1bedroom flat in Le Plateau,Le Plateau-Mont-Royal,Sarah & Aristide,45.51769,-73.5739,Entire home/apt,80.0,31.0,142.0,2/15/24,1.73,1,207,5.0,
19602232,Chambre discrète dans le Plateau,Le Plateau-Mont-Royal,Sandra,45.51965,-73.57985,Private room,40.0,1.0,364.0,3/16/24,4.47,7,229,118.0,"302949, expires: 2024-06-30"
19612057,"Le Chalet St-Léo, S-Sol",Saint-Léonard,Nacima & Kamal,45.58585,-73.58198,Entire home/apt,189.0,2.0,111.0,10/13/23,1.36,7,68,8.0,"296468, expires: 2024-09-01T02:55:35Z"
19682110,Charming 2 bedroom apartement / private terrace,Ville-Marie,Jean Romain,45.53711,-73.55688,Entire home/apt,139.0,31.0,68.0,6/12/22,0.88,1,89,0.0,
19717514,"Unwind in Style at a Luxurious, Modern Condo",Le Plateau-Mont-Royal,Berish,45.52449,-73.60682,Entire home/apt,203.0,1.0,172.0,3/4/24,2.11,25,352,12.0,"296457, expires: 2024-07-31T19:20:16Z"
19721891,Extended Stays 1BR perfect for Business!,Ville-Marie,Daniel,45.51049,-73.5622,Entire home/apt,55.0,31.0,2.0,8/25/22,0.03,28,108,0.0,
19734354,Modern Condo Located in Montreal Village!,Ville-Marie,David,45.52165,-73.55539,Entire home/apt,248.0,4.0,38.0,6/20/23,0.49,1,152,3.0,"253352, expires: 2024-05-31"
19750226,Condo WOW Perché au sommet du centre-ville de MTL,Ville-Marie,Ping,45.49623,-73.56936,Entire home/apt,99.0,31.0,68.0,3/31/22,0.84,1,162,0.0,
19751687,Your home away from home,Ahuntsic-Cartierville,Elsa & Rawi,45.57044,-73.65076,Entire home/apt,50.0,31.0,53.0,2/2/24,0.65,1,171,1.0,
19762784,Oasis familial en plein coeur de Montreal,Rosemont-La Petite-Patrie,Laetitia,45.54695,-73.57731,Entire home/apt,410.0,3.0,19.0,12/27/23,0.24,4,69,5.0,"312696, expires: 2024-04-18"
19764537,"MTLVR #08 | Fully equipped for 8, Family focused",Le Plateau-Mont-Royal,Yann,45.52053,-73.59402,Entire home/apt,253.0,2.0,135.0,2/27/24,1.66,19,192,39.0,"295227, expires: 2024-12-31"
19791598,"Le Laurentien MTL, Best location for best vacation",Ahuntsic-Cartierville,Mireille,45.53105,-73.72585,Entire home/apt,95.0,31.0,18.0,9/18/23,0.24,1,0,3.0,
19798843,Magnifique appartement 2 chambres au dernier étage,Mercier-Hochelaga-Maisonneuve,Ahmed,45.55858,-73.54489,Entire home/apt,120.0,31.0,68.0,10/13/23,0.84,1,79,34.0,"315818, expires: 2025-03-13"
19808669,"Spacious Flat in the Ville-Marie, FREE U. Parking!",Ville-Marie,Mark,45.51577,-73.55406,Entire home/apt,65.0,31.0,90.0,7/1/23,1.11,1,89,3.0,
19829961,"La chambre qui vous fait signe, dans le Plateau",Le Plateau-Mont-Royal,Sandra,45.51965,-73.57985,Private room,30.0,1.0,459.0,3/18/24,5.63,7,188,114.0,"314182, expires: 2024-06-27T00:00:00Z"
19839769,Hotel ZOZO 2,Mercier-Hochelaga-Maisonneuve,W,45.54288,-73.54007,Entire home/apt,177.0,3.0,131.0,2/24/24,1.62,3,302,23.0,"295943, expires: 2024-06-01T00:00:00Z"
19936655,"Elegant Downtown Apt /King bed, Parking n Balcony",Ville-Marie,Walter,45.50203,-73.58022,Entire home/apt,142.0,2.0,159.0,3/18/24,1.99,1,172,64.0,"313246, expires: 2024-05-01"
19947667,Downtown Sunny Utopia,Le Plateau-Mont-Royal,Erol & Jay,45.50708,-73.57327,Entire home/apt,94.0,1.0,266.0,1/13/24,3.28,24,79,34.0,"296971, expires: 2024-11-17"
19951538,Luxurious 2Bdrm 2Parking Old Port& Downtown House,Ville-Marie,Mariam,45.53027341,-73.54426656,Entire home/apt,161.0,2.0,278.0,3/7/24,3.43,1,80,42.0,"311764, expires: 2025-01-10"
19952340,Sunny white room with balcony,Le Plateau-Mont-Royal,Annie,45.52266,-73.57427,Private room,62.0,2.0,279.0,2/22/24,3.47,10,133,46.0,"291745, expires: 2025-02-28"
19964276,Beautiful Apartment / Four Bedrooms in the Trendy Plateau,Le Plateau-Mont-Royal,Pur-Plateau Urban Retreats,45.53640312,-73.57302767,Entire home/apt,148.0,2.0,187.0,3/10/24,2.31,1,239,39.0,"296522, expires: 2024-07-31"
19969925,Private room with original wooden queen bed,Le Plateau-Mont-Royal,Annie,45.52266,-73.57427,Private room,58.0,2.0,242.0,3/6/24,2.99,10,128,41.0,"291745, expires: 2025-02-28"
19979999,Peaceful room in Hochelaga,Mercier-Hochelaga-Maisonneuve,Colin&Özge,45.55621,-73.53295,Private room,50.0,31.0,13.0,3/1/24,0.16,3,74,5.0,
19983302,Large 2 bedroom suite in Downtown Montreal,Le Plateau-Mont-Royal,Oxford,45.51007,-73.57564,Entire home/apt,98.0,31.0,3.0,6/30/22,0.09,20,242,0.0,
20009187,Black and white private room,Le Plateau-Mont-Royal,Annie,45.52266,-73.57427,Private room,62.0,2.0,224.0,2/10/24,2.77,10,175,41.0,"291745, expires: 2025-02-28"
20025799,"One bedroom apartment in Downtown, near Plateau",Le Plateau-Mont-Royal,Oxford,45.51007,-73.57564,Entire home/apt,90.0,31.0,15.0,12/3/23,0.19,20,204,6.0,
20056015,Cozy apartment in the heart of The Village,Ville-Marie,Wendy,45.52268,-73.55666,Entire home/apt,102.0,1.0,37.0,3/8/24,3.18,1,115,37.0,"311357, expires: 2024-12-15T02:55:29Z"
20057500,Open concept in the heart of Montreal 31 days min,Ville-Marie,Franck,45.50937,-73.56096,Entire home/apt,70.0,31.0,257.0,12/21/23,3.17,1,174,20.0,
20075945,5☆ DESIGNER 2BR IN ❤️ OF PLATEAU/AC/NICE TERRACE!!!,Le Plateau-Mont-Royal,Steve,45.51599642,-73.57847712,Entire home/apt,215.0,2.0,113.0,8/30/23,1.4,7,84,19.0,"313088, expires: 2024-05-09T00:00:00Z"
20095771,Unique & Charming 3BR Loft - Heart Of Old Montreal,Ville-Marie,Al,45.5076,-73.55381,Entire home/apt,541.0,3.0,82.0,6/13/23,1.02,1,278,1.0,"315947, expires: 2024-10-10"
20135370,Hotel ZOZO 1,Mercier-Hochelaga-Maisonneuve,W,45.54376,-73.54045,Entire home/apt,177.0,3.0,185.0,2/19/24,2.29,3,98,42.0,"295943, expires: 2024-05-31"
20153204,Cozy apt in century-old house Centre-Ville/Village,Ville-Marie,Maxime,45.51913,-73.55883,Entire home/apt,165.0,31.0,170.0,11/4/23,2.18,1,140,2.0,
20153447,Rustic Industrial Loft in Historical Building,Ville-Marie,Pat,45.49976,-73.5571,Entire home/apt,200.0,31.0,111.0,10/16/23,1.38,2,51,11.0,
20164905,Beautiful 1 bedroom in the heart of Montreal,Le Plateau-Mont-Royal,Oxford,45.51007,-73.57564,Entire home/apt,84.0,31.0,4.0,6/1/20,0.05,20,38,0.0,
20174258,Classic Montreal Atelier,Le Plateau-Mont-Royal,Erol & Jay,45.50921,-73.57413,Entire home/apt,100.0,1.0,190.0,3/14/24,2.35,24,60,49.0,"294006, expires: 2024-03-31"
20195499,Grande chambre Namasté,Rosemont-La Petite-Patrie,Laetitia,45.54861,-73.57467,Private room,26.0,31.0,18.0,12/22/23,0.23,4,257,4.0,
20267616,Stunning Downtown Studio,Le Plateau-Mont-Royal,Erol & Jay,45.5098,-73.57499,Entire home/apt,86.0,1.0,137.0,1/1/24,1.7,24,68,20.0,"296974, expires: 2024-11-17"
20478865,Cozy Room with Plenty Sunlight,Côte-des-Neiges-Notre-Dame-de-Grâce,Lizzy,45.47624,-73.63201,Private room,100.0,2.0,48.0,2/29/24,0.6,7,236,20.0,"308087, expires: 2024-09-12"
20479231,Comfy Room Close to Restaurants & Bars,Côte-des-Neiges-Notre-Dame-de-Grâce,Lizzy,45.4756,-73.63208,Private room,105.0,2.0,43.0,3/8/24,0.54,7,255,17.0,"308087, expires: 2024-09-12"
20479413,Large and Cozy Room Near Restaurants,Côte-des-Neiges-Notre-Dame-de-Grâce,Lizzy,45.47581,-73.6302,Private room,110.0,2.0,42.0,2/4/24,0.52,7,325,18.0,"308087, expires: 2024-09-12"
20556406,"Plaza12 - StringLights, XL Terrace, restos & shops",Rosemont-La Petite-Patrie,Norman G,45.53711526,-73.60677129,Entire home/apt,171.0,3.0,90.0,3/19/24,2.2,2,305,28.0,"296619, expires: 2024-08-31"
20557333,Charming Mtlhomestay Accommodation,Côte-des-Neiges-Notre-Dame-de-Grâce,Maureen,45.46856,-73.60565,Private room,75.0,3.0,44.0,1/6/24,0.55,1,356,20.0,"305995, expires: 2024-07-31"
20601389,"10 Min & Under to Most of Verdun, 1st Floor",Verdun,Sunny,45.45872,-73.56911,Entire home/apt,87.0,4.0,149.0,2/23/24,1.96,6,277,23.0,"296323, expires: 2024-07-31"
20601669,PETIT NID SUR LE PLATEAU- NEST ON THE PLATEAU,Le Plateau-Mont-Royal,Catherine,45.53229,-73.56477,Private room,30.0,31.0,12.0,3/3/24,0.18,2,304,3.0,
20607226,"10 Min & Under to Most of Verdun, Ground Floor #2",Verdun,Sunny,45.45691,-73.567,Entire home/apt,100.0,4.0,4.0,12/24/23,0.54,6,315,4.0,"296323, expires: 2024-07-31"
20619856,Studio apartment downtown Montreal,Le Plateau-Mont-Royal,Oxford,45.50909,-73.57475,Entire home/apt,75.0,31.0,11.0,3/1/24,0.15,20,241,1.0,
20677936,Magnifique! face au fleuve et parc! Wow!,Verdun,Josee,45.44886,-73.57012,Entire home/apt,125.0,31.0,52.0,7/24/23,0.65,3,268,1.0,
20728537,Corporate Stays | Le Shaughn | Trendy 1BR,Ville-Marie,Corporate Stays,45.49091,-73.5774,Entire home/apt,168.0,31.0,6.0,3/7/23,0.08,102,78,0.0,
20831254,Corporate Stays | Le Shaughn | Homey 1BR,Ville-Marie,Corporate Stays,45.49273,-73.57578,Entire home/apt,198.0,31.0,5.0,1/3/23,0.07,102,35,0.0,
20856442,Vivre comme un Montréalais! - Rosemont -,Rosemont-La Petite-Patrie,Julie,45.55186,-73.59863,Entire home/apt,115.0,31.0,68.0,11/23/23,0.86,1,194,2.0,
20874792,Trans Island Home for happy travelers I,Côte-des-Neiges-Notre-Dame-de-Grâce,Chris And Marc,45.49087,-73.64357,Private room,37.0,2.0,202.0,1/27/24,2.54,4,66,31.0,"301418, expires: 2024-04-30"
