id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4734218,"Magnifique 5 1/2 , PLATEAU MT-ROYAL",2520266,Frederic,,Le Plateau-Mont-Royal,45.53881,-73.58013,Entire home/apt,471,100,3,9/8/15,0.03,1,365,0,
4738920,Historic 2BR GEM in Golden Square Mile Downtown,24461601,Carmela,,Ville-Marie,45.4968728,-73.587117,Entire home/apt,193,3,21,2/19/24,1.02,2,229,20,"310878, expires: 2024-10-27T15:49:02Z"
4743645,"Beautiful & Bright, Fully Furnished Apartment",24484653,Kostas,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.50081,-73.63579,Entire home/apt,99,32,83,8/30/23,0.76,1,81,2,
4745683,"Superb 3½ all included, 32 days location minimum",9926393,Denise,,Le Sud-Ouest,45.4551,-73.6002,Entire home/apt,39,32,9,10/1/22,0.08,1,57,0,
4774697,Shaughnessy Village Downtown,6114938,Patrick,,Ville-Marie,45.49181,-73.57567,Entire home/apt,100,31,5,10/20/23,0.07,5,179,1,
4795345,Le Petit Penthouse Downtown Montreal,11943082,We Rent For You Inc.,,Le Plateau-Mont-Royal,45.5131,-73.57282,Entire home/apt,193,1,39,8/7/23,0.35,24,42,13,"267551, expires: 2024-06-30"
4813554,Modern 1 bedroom apartment,24791257,Jean-Sébastien,,Ahuntsic-Cartierville,45.56761,-73.65219,Entire home/apt,79,32,40,7/30/23,0.36,1,286,1,
4822411,DOUBLEROOM Piano&Garden&KING SIZE BED!,8024983,Julie (Habitats Julie Et David),,Rosemont-La Petite-Patrie,45.539979,-73.606578,Private room,75,1,275,3/11/24,2.5,6,89,60,"286775, expires: 2024-08-31T20:24:39Z"
4824784,Large modern 2BD in Plateau/MileEnd,1656323,Nadim,,Le Plateau-Mont-Royal,45.52455,-73.59508,Entire home/apt,68,31,172,3/20/24,1.57,6,326,5,
4867994,Fully renovated Pointe Claire home.,4446501,Paul,,Pointe-Claire,45.44477,-73.82831,Entire home/apt,175,32,18,6/27/23,0.21,1,236,1,
4900840,Le Old World Meets Modern,23413183,Brooke,,Ville-Marie,45.49012,-73.5798,Entire home/apt,299,1,159,3/9/24,1.66,1,194,25,"297531, expires: 2024-06-30T00:00:00Z"
4908966,Anderson apartment 3H: Cozy and spacious #3,15736663,Myriam,,Ville-Marie,45.50536,-73.56337,Entire home/apt,256,1,26,10/29/23,0.23,13,256,8,"221311, expires: 2024-04-30"
4975441,Downtown Studio for 2 with a view,25646950,Eric,,Ville-Marie,45.50769,-73.56964,Entire home/apt,75,31,31,9/30/23,0.29,10,341,2,
4983260,"3 BD, patio,metro. Best deal for 1+ month staying!",25688694,Tatiana,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47085,-73.61222,Entire home/apt,150,32,15,7/21/23,0.15,1,242,1,
5066202,Mile-end Plateau Montreal's Best,6886234,Julien,,Le Plateau-Mont-Royal,45.52134,-73.58678,Entire home/apt,175,4,133,12/9/23,1.25,1,30,20,"303164, expires: 2024-09-30T18:49:19Z"
5142544,Le Loft Spa,26586314,Patrice,,Le Plateau-Mont-Royal,45.52663,-73.58282,Entire home/apt,174,31,114,11/30/23,1.04,1,328,2,
5173875,Large 4 1/2 Downtown Montréal,3206353,Rosaire,,Ville-Marie,45.50139,-73.57851,Entire home/apt,180,31,8,12/3/23,0.07,1,305,2,
5174441,"Superb Furnished Condo, Little Italy",7931773,Frederic,,Villeray-Saint-Michel-Parc-Extension,45.53527451,-73.62117004,Entire home/apt,75,31,3,2/1/24,0.08,1,111,2,
5241608,Cosy apt close to subway with terrace.,39434,Alexandre,,Mercier-Hochelaga-Maisonneuve,45.54628,-73.54997,Entire home/apt,94,2,579,3/10/24,5.23,1,99,71,"289785, expires: 2024-12-31"
5280660,Quiet & clean in Plateau Mont-Royal studio,6312297,Katherine,,Le Plateau-Mont-Royal,45.52716,-73.57465,Entire home/apt,52,32,13,1/2/24,0.12,14,365,2,
5287115,Vintage Montreal Apartment,27375271,Fabrice,,Verdun,45.4685,-73.56758,Entire home/apt,55,31,63,12/17/23,0.58,2,192,2,
5292336,Quiet & clean in Plateau Mont-Royal Studio 6,6312297,Katherine,,Le Plateau-Mont-Royal,45.52716,-73.57465,Entire home/apt,52,32,29,12/10/23,0.27,14,290,1,
